state,abbr,shootings
Washington,WA,181
Oregon,OR,108
Kansas,KS,64
California,CA,988
Colorado,CO,242
Oklahoma,OK,194
Arizona,AZ,305
Iowa,IA,41
Pennsylvania,PA,141
Texas,TX,601
Ohio,OH,187
Louisiana,LA,132
Montana,MT,41
Utah,UT,82
Arkansas,AR,97
Illinois,IL,134
Nevada,NV,115
New Mexico,NM,134
Minnesota,MN,76
Missouri,MO,167
Virginia,VA,117
New Jersey,NJ,80
Indiana,IN,123
Kentucky,KY,123
Massachusetts,MA,44
New Hampshire,NH,18
Florida,FL,437
Idaho,ID,57
Maryland,MD,97
Nebraska,NE,34
Michigan,MI,107
Georgia,GA,246
Tennessee,TN,182
North Carolina,NC,188
Alaska,AK,47
New York,NY,125
Maine,ME,29
Alabama,AL,124
Mississippi,MS,87
Wisconsin,WI,109
South Carolina,SC,105
Delaware,DE,16
District of Columbia,DC,21
West Virginia,WV,63
Hawaii,HI,37
Wyoming,WY,15
North Dakota,ND,15
Connecticut,CT,23
South Dakota,SD,21
Vermont,VT,11
Rhode Island,RI,4
